State,County,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson1,
,Lawrence,8,0,1,1,6,297,103,166,28,4,
,Martin,1,0,1,0,0,64,10,36,18,2,
,Noble,9,0,2,0,7,158,72,70,16,1,
,Parke,11,0,1,10,0,190,49,135,6,4,
,Pulaski,11,1,0,2,8,214,46,154,14,4,
,Randolph,13,0,13,0,0,146,51,92,3,0,
,Ripley,2,0,0,0,2,187,39,138,10,0,
,Starke,18,0,1,3,14,462,152,265,45,4,
,Steuben,14,0,6,2,6,614,136,433,45,1,
,Wabash,0,0,0,0,0,178,56,122,0,2,
,Wayne,4,0,4,0,0,134,43,77,14,0,
,White,0,0,0,0,0,21,21,0,0,0,
IOWA,Benton,0,0,0,0,0,98,23,74,1,0,
,Black Hawk,39,0,5,0,34,263,88,157,18,4,
,Bremer,16,1,0,0,15,47,11,36,0,0,
,Dallas,3,0,1,0,2,79,18,55,6,0,
,Dubuque,60,0,4,0,56,251,82,146,23,4,
,Grundy,1,0,0,0,1,69,14,47,8,0,
,Guthrie,2,0,0,1,1,64,31,30,3,0,
,Harrison,7,0,2,0,5,119,31,77,11,1,
,Johnson,58,1,4,0,53,231,105,106,20,4,
,Jones,2,0,2,0,0,52,15,30,7,0,
,Linn,18,1,5,0,12,286,122,133,31,13,
,Madison,2,0,1,0,1,21,9,10,2,0,
,Mills,24,0,4,1,19,192,56,113,23,5,
,Polk,91,1,10,7,73,741,175,495,71,3,
,Pottawattamie,45,1,10,1,33,513,127,319,67,1,
,Scott,11,1,1,1,8,214,43,154,17,1,
,Story,11,0,3,0,8,188,82,90,16,3,
,Warren,22,0,7,0,15,243,64,165,14,2,
,Washington,23,0,5,0,18,123,73,41,9,0,
,Woodbury,17,1,2,0,14,107,56,48,3,1,
IOWA,Adair,6,0,1,0,5,46,9,35,2,1,
,Adams,3,0,1,0,2,57,14,39,4,0,
,Allamakee,2,0,0,0,2,25,2,22,1,0,
,Appanoose,12,1,0,0,11,63,26,33,4,6,
,Audubon,6,0,0,0,6,15,0,12,3,0,
,Buchanan,9,1,1,0,7,89,24,61,4,2,
,Buena Vista,3,0,0,0,3,69,30,34,5,0,
,Butler,4,0,0,0,4,24,8,15,1,0,
,Calhoun,6,0,0,0,6,123,37,80,6,0,
,Carroll,3,0,0,0,3,36,3,31,2,0,
,Cass,8,0,1,1,6,110,39,66,5,0,
,Cedar,16,0,0,0,16,88,19,65,4,2,
,Cerro Gordo,8,0,0,0,8,107,36,65,6,0,
,Cherokee,1,0,0,0,1,37,11,26,0,0,
,Clarke,10,0,0,0,10,71,19,47,5,2,
,Clay,2,0,0,0,2,50,31,17,2,1,
,Clayton,13,0,3,0,10,45,20,21,4,1,
,Clinton,45,1,3,0,41,150,49,79,22,2,
,Davis,9,0,1,0,8,9,5,4,0,0,
,Des Moines,27,0,1,1,25,184,43,122,19,2,
,Emmet,1,0,0,0,1,38,21,15,2,0,
,Fayette,15,0,2,1,12,30,9,16,5,0,
,Floyd,1,0,1,0,0,21,12,9,0,0,
,Hamilton,12,1,0,0,11,88,44,39,5,1,
,Hancock,3,0,0,0,3,76,17,57,2,0,
,Hardin,8,0,3,0,5,92,39,44,9,1,
,Henry,29,0,3,1,25,126,46,71,9,1,
,Howard,2,0,0,0,2,66,17,46,3,1,
,Humboldt,2,1,0,0,1,32,9,20,3,0,
,Ida,9,0,2,0,7,63,10,52,1,0,
,Iowa,8,0,0,0,8,105,26,72,7,1,
,Jasper,16,0,1,1,14,131,40,79,12,3,
,Jefferson,5,0,0,0,5,79,29,43,7,0,
,Keokuk,0,0,0,0,0,14,0,13,1,0,
,Lee,27,0,6,0,21,119,31,76,12,1,
,Louisa,5,1,4,0,0,33,0,28,5,2,
,Lyon,13,0,3,0,10,87,28,49,10,1,
,Mahaska,22,0,0,0,22,82,34,41,7,2,
,Marion,31,1,10,0,20,73,25,41,7,0,
,Marshall,31,2,4,0,25,93,43,42,8,1,
,Mitchell,1,0,0,0,1,8,3,3,2,0,
,Monona,0,0,0,0,0,2,0,1,1,0,
,Monroe,5,0,0,0,5,27,7,17,3,1,
,Muscatine,20,1,2,3,14,128,51,69,8,4,
,O'Brien,4,0,0,0,4,51,21,25,5,2,
,Osceola,2,0,0,0,2,11,3,8,0,0,
,Plymouth,7,0,2,0,5,45,13,26,6,0,
,Pocahontas,1,0,1,0,0,34,18,15,1,0,
,Poweshiek,9,0,3,0,6,131,45,71,15,1,
,Sac,2,0,0,0,2,44,25,17,2,0,
,Sioux,6,0,1,0,5,79,30,43,6,1,
,Tama,28,0,2,1,25,135,65,59,11,1,
,Taylor,0,0,0,0,0,46,15,29,2,0,
,Union,1,0,0,0,1,32,9,19,4,1,
,Van Buren,7,0,0,1,6,98,44,52,2,0,
,Wapello,8,0,1,0,7,124,44,66,14,0,
,Wayne,9,0,1,0,8,51,20,26,5,1,
,Webster,24,0,0,1,23,238,53,151,34,3,
,Winneshiek,1,0,0,0,1,32,9,23,0,0,
,Worth,0,0,0,0,0,114,23,81,10,1,
,Wright,1,0,0,0,1,47,24,20,3,0,
KANSAS,Butler,42,1,6,1,34,524,201,278,45,2,
,Doniphan,4,0,2,0,2,99,33,59,7,3,
,Douglas,16,0,4,0,12,260,64,183,13,4,
,Franklin,32,0,7,0,25,187,74,100,13,3,
,Geary,8,0,2,0,6,43,9,33,1,2,
,Harvey,23,0,2,0,21,94,16,73,5,2,
,Jackson,30,0,2,0,28,173,62,99,12,1,
,Jefferson,12,0,1,0,11,347,102,222,23,5,
,Leavenworth,74,0,4,1,69,345,133,180,32,14,
,Linn,19,1,4,0,14,85,26,42,17,1,
,Miami,19,0,3,0,16,178,59,100,19,13,
,Osage,9,0,2,0,7,77,39,32,6,5,
,Pottawatomie,26,1,3,2,20,227,69,143,15,2,
,Riley,225,3,42,30,150,"1,765",336,"1,358",71,13,
,Shawnee,131,0,11,7,113,"1,563",382,"1,103",78,12,
,Sumner,16,0,1,0,15,144,50,84,10,0,
,Wabaunsee,13,0,1,0,12,93,35,49,9,0,
,Wyandotte,6,0,0,1,5,6,0,4,2,0,
KANSAS,Allen,19,0,3,0,16,107,23,72,12,3,
,Anderson,4,0,0,1,3,48,16,30,2,1,
,Atchison,5,0,0,0,5,54,20,29,5,5,
,Barber,4,0,2,0,2,13,0,10,3,0,
,Barton2,4,0,2,0,2,136,49,80,7,0,
,Bourbon,2,0,1,0,1,55,20,30,5,1,
,Brown,24,0,1,0,23,53,17,32,4,0,
,Chautauqua,11,0,1,0,10,45,16,28,1,0,
,Cherokee,18,0,2,2,14,195,51,113,31,5,
,Cheyenne,1,0,0,0,1,17,2,14,1,0,
,Clark,1,0,0,0,1,23,10,12,1,0,
,Clay,8,0,1,0,7,54,18,27,9,0,
,Cloud,2,0,0,0,2,29,13,16,0,0,
,Coffey,12,0,4,0,8,47,11,35,1,0,
,Cowley,35,0,1,0,34,246,98,137,11,2,
,Crawford,41,0,1,1,39,296,90,189,17,12,
,Dickinson,17,0,5,0,12,132,30,96,6,3,
,Edwards,2,0,0,0,2,23,9,14,0,0,
,Elk,2,0,1,0,1,28,7,21,0,0,
,Ellis,10,0,2,0,8,75,18,53,4,1,
,Ellsworth,7,1,0,0,6,58,20,35,3,0,
,Finney,46,0,8,3,35,258,65,178,15,2,
,Ford,16,0,0,1,15,55,17,29,9,0,
,Graham,4,0,0,0,4,30,11,17,2,1,
,Grant,8,2,0,0,6,23,9,14,0,0,
,Gray,2,0,1,0,1,24,4,18,2,1,
,Greenwood,25,0,1,2,22,212,58,149,5,1,
,Harper,1,0,0,0,1,18,7,9,2,0,
,Hodgeman,5,0,0,0,5,26,9,16,1,0,
,Kearny,13,0,1,0,12,91,16,72,3,1,
,Kingman,3,0,1,0,2,55,21,28,6,2,
,Kiowa,5,0,2,0,3,36,12,21,3,0,
,Labette,15,0,1,0,14,118,44,68,6,8,
,Lane,3,0,1,0,2,22,8,12,2,0,
,Lincoln,5,0,0,0,5,45,12,31,2,1,
,Lyon,15,0,3,0,12,104,16,81,7,5,
,McPherson,9,0,2,1,6,99,33,63,3,2,
,Mitchell,4,0,1,0,3,60,28,27,5,2,
,Morris,2,0,1,0,1,39,16,23,0,0,
,Morton,10,0,0,0,10,39,13,23,3,0,
,Nemaha,9,0,2,0,7,52,13,38,1,0,
,Neosho,13,0,1,1,11,99,40,50,9,8,
,Osborne,4,1,0,0,3,56,25,29,2,1,
,Ottawa,9,0,1,0,8,72,29,40,3,1,
,Pawnee,15,0,2,0,13,36,14,21,1,1,
,Phillips,6,0,0,0,6,13,2,9,2,0,
,Pratt,5,0,1,0,4,50,16,30,4,3,
,Rawlins,3,0,1,0,2,17,2,14,1,0,
,Reno,39,0,4,2,33,297,111,174,12,13,
,Republic,2,0,0,0,2,55,18,33,4,1,
,Rice,9,0,1,0,8,46,16,27,3,1,
,Rooks,2,0,0,0,2,7,3,4,0,0,
,Rush,2,0,0,0,2,25,13,8,4,0,
,Russell,6,0,0,0,6,38,15,21,2,1,
,Saline,22,1,6,0,15,156,51,97,8,7,
,Scott,0,0,0,0,0,23,2,17,4,2,
,Seward,9,0,1,0,8,49,9,35,5,1,
,Sherman,9,0,0,0,9,23,6,16,1,0,
,Smith,1,0,0,0,1,24,14,8,2,0,
,Stafford,4,0,0,0,4,44,11,29,4,0,
,Stanton,1,0,0,1,0,24,4,18,2,0,
,Thomas,11,0,4,2,5,32,2,28,2,0,
,Washington,6,0,0,0,6,11,4,6,1,0,
,Wichita,10,0,0,0,10,20,2,16,2,0,
,Wilson,6,0,1,0,5,67,39,26,2,3,
,Woodson,10,0,5,0,5,39,9,29,1,1,
KENTUCKY,Bourbon,2,0,0,0,2,80,25,48,7,,
,Boyd,32,0,0,15,17,316,83,207,26,,
,Bracken,5,0,1,1,3,71,29,38,4,,
,Bullitt,35,1,11,4,19,560,243,284,33,,
,Christian,24,1,4,7,12,422,173,215,34,,
,Clark,15,1,4,5,5,322,126,179,17,,
,Daviess,31,0,4,2,25,578,147,404,27,3,
,Edmonson,3,0,0,0,3,48,15,30,3,,
,Gallatin,1,0,1,0,0,33,10,22,1,,
,Grant,1,0,1,0,0,92,34,54,4,,
,Greenup,16,0,1,5,10,64,38,19,7,,
,Hancock,1,0,0,0,1,15,7,7,1,,
,Hardin,5,0,3,0,2,127,55,65,7,,
,Jefferson,0,0,0,0,0,12,2,9,1,,
,Jessamine,10,0,2,6,2,202,69,107,26,,
,Kenton,1,0,0,0,1,6,1,5,0,,
,Larue,12,0,3,0,9,51,17,33,1,,
,McLean,4,0,0,0,4,16,5,8,3,,
,Meade,6,0,1,2,3,183,79,82,22,,
,Nelson,21,0,3,3,15,277,95,169,13,,
,Oldham,26,0,12,8,6,472,117,339,16,,
,Pendleton,1,0,0,0,1,87,20,56,11,,
,Scott,17,0,2,3,12,411,134,251,26,,
,Shelby,33,0,4,7,22,399,101,276,22,,
,Spencer,3,0,1,1,1,41,24,12,5,,
,Trigg,2,0,0,0,2,92,44,37,11,,
,Trimble,0,0,0,0,0,16,1,9,6,,
,Warren,14,0,1,3,10,486,138,319,29,,
KENTUCKY,Adair,1,0,0,0,1,12,6,4,2,,
,Allen,11,1,1,1,8,91,33,49,9,,
,Anderson,5,0,0,2,3,57,16,37,4,,
,Ballard,8,0,3,0,5,104,34,67,3,,
,Barren,11,1,5,2,3,232,90,126,16,,
,Bell,5,0,0,1,4,58,15,38,5,,
,Boyle,5,0,1,1,3,127,38,75,14,,
,Breckinridge,2,0,0,0,2,35,13,16,6,,
,Butler,2,0,0,0,2,40,18,16,6,,
,Caldwell,5,0,0,0,5,58,30,23,5,,
,Calloway,14,1,3,1,9,448,163,250,35,,
,Carroll,0,0,0,0,0,3,0,3,0,,
,Carter,2,0,0,1,1,175,69,91,15,,
,Casey,4,0,0,0,4,116,40,67,9,,
,Clay,6,0,1,0,5,116,42,49,25,,
,Clinton,0,0,0,0,0,0,0,0,0,,
,Crittenden,0,0,0,0,0,17,4,12,1,,
,Cumberland,0,0,0,0,0,4,1,1,2,,
,Estill,2,0,0,2,0,242,69,154,19,,
,Fleming,9,0,2,0,7,46,15,18,13,,
,Floyd,1,0,0,0,1,151,39,96,16,,
,Franklin,20,0,3,11,6,110,57,45,8,,
,Fulton,1,0,1,0,0,54,15,33,6,,
,Garrard,0,0,0,0,0,133,43,86,4,,
,Graves,13,2,2,1,8,143,63,71,9,,
,Grayson,11,0,3,0,8,159,63,85,11,,
,Harlan,14,0,1,0,13,57,23,34,0,,
,Harrison,8,0,0,3,5,210,84,116,10,,
,Hart,2,0,1,0,1,25,18,6,1,,
,Hopkins,10,0,1,0,9,247,84,140,23,,
,Jackson,3,0,1,0,2,65,21,38,6,,
,Johnson,1,0,0,0,1,40,5,29,6,,
,Knott,0,0,0,0,0,77,13,57,7,,
,Knox,12,0,3,0,9,324,112,181,31,,
,Laurel,19,0,3,3,13,430,131,240,59,,
,Lawrence,3,0,0,0,3,21,11,10,0,,
,Letcher,2,0,0,0,2,100,38,57,5,,
,Lewis,10,0,2,5,3,67,30,31,6,,
,Lincoln,4,0,0,2,2,114,58,41,15,,
,Livingston,5,0,0,1,4,117,53,58,6,,
,Logan,20,0,2,9,9,212,89,111,12,,
,Lyon,3,0,0,0,3,34,12,19,3,,
,Madison,9,1,0,0,8,342,124,199,19,,
,Magoffin,2,0,0,0,2,26,8,13,5,,
,Marion,0,0,0,0,0,114,31,76,7,,
,Martin,2,0,1,0,1,91,33,45,13,,
,Mason,14,0,1,5,8,189,75,111,3,,
,McCracken,44,0,14,10,20,601,188,360,53,,
,McCreary,6,0,0,1,5,200,71,108,21,,
,Mercer,0,0,0,0,0,53,22,24,7,,
,Metcalfe,3,0,0,0,3,48,15,25,8,,
,Montgomery,10,0,0,2,8,456,164,269,23,,
,Muhlenberg,1,0,0,0,1,38,20,13,5,,
,Nicholas,0,0,0,0,0,11,4,6,1,,
,Ohio,13,1,2,0,10,125,52,66,7,,
,Owen,2,0,0,0,2,54,28,23,3,,
,Owsley,0,0,0,0,0,21,12,8,1,,
,Perry,2,0,0,0,2,26,10,12,4,,
,Pike,11,0,0,1,10,50,11,35,4,,
,Pulaski,44,1,5,6,32,"1,047",364,654,29,,
,Rockcastle,7,0,1,2,4,47,23,12,12,,
,Rowan,3,0,0,1,2,34,7,27,0,,
,Russell,5,0,0,0,5,64,16,43,5,,
,Simpson,11,0,0,9,2,144,46,84,14,,
,Taylor,14,1,5,1,7,153,57,87,9,,
,Todd,1,0,0,0,1,22,5,14,3,,
,Union,2,0,0,0,2,59,11,48,0,,
,Washington,2,0,0,0,2,49,25,20,4,,
,Wayne,6,0,2,2,2,80,53,23,4,,
,Whitley,2,0,0,0,2,108,47,44,17,,
LOUISIANA,Ascension,370,3,17,33,317,"2,660",550,"1,928",182,14,
,Bossier,277,3,2,2,270,495,68,388,39,1,
,Caddo,158,0,13,14,131,959,223,635,101,12,
,Cameron,49,1,1,0,47,163,28,113,22,0,
,East Baton Rouge,766,18,26,232,490,"8,066","2,238","5,390",438,37,
,Grant,17,0,2,0,15,272,105,139,28,2,
,Jefferson,"2,243",36,70,593,"1,544","15,047","3,675","9,832","1,540",136,
,Lafayette,363,1,21,62,279,"1,465",382,884,199,14,
,Lafourche,166,4,8,15,139,"1,400",146,"1,168",86,0,
,Livingston,175,5,14,15,141,"2,547",785,"1,524",238,0,
,Ouachita,178,0,4,33,141,"3,008",944,"1,906",158,6,
,Plaquemines,54,0,1,1,52,388,44,325,19,3,
,Pointe Coupee4,56,3,2,2,49,,84,203,,4,
,Rapides,324,5,33,6,280,"1,528",346,993,189,3,
,St. Charles,172,4,14,31,123,"1,359",434,822,103,15,
,St. John the Baptist,161,11,6,85,59,"1,653",382,"1,108",163,,
,St. Martin,93,1,13,16,63,274,27,247,0,,
,St. Tammany,401,4,42,23,332,"2,914",775,"1,916",223,24,
,Terrebonne,359,5,30,59,265,"2,957",501,"2,202",254,14,
,Union,25,0,0,0,25,45,17,28,0,5,
,West Baton Rouge,69,1,7,11,50,564,47,477,40,1,
,West Feliciana,52,0,4,2,46,125,29,80,16,1,
LOUISIANA,Acadia,108,0,4,1,103,609,110,437,62,0,
,Assumption,151,0,4,1,146,375,72,271,32,0,
,Beauregard,61,1,5,2,53,336,125,177,34,3,
,Caldwell,62,1,0,1,60,351,116,210,25,2,
,Concordia,78,3,11,5,59,265,106,146,13,0,
,East Carroll,17,0,1,2,14,50,16,30,4,0,
,Evangeline,39,0,3,1,35,419,100,299,20,1,
,Franklin,11,0,0,3,8,159,58,93,8,0,
,Jackson,7,2,0,0,5,146,40,91,15,1,
,Jefferson Davis,68,2,7,3,56,378,52,297,29,0,
,Lincoln,31,0,3,2,26,242,90,127,25,0,
,Madison,77,0,1,1,75,157,42,100,15,1,
,Morehouse,30,2,2,5,21,544,82,429,33,2,
,Natchitoches,111,0,3,4,104,408,96,278,34,1,
,Red River,19,0,1,0,18,90,20,63,7,0,
,Richland,8,0,1,0,7,173,30,127,16,0,
,Sabine,34,1,0,2,31,322,96,202,24,0,
,St. James,172,2,2,6,162,628,159,429,40,3,
,St. Mary,228,2,14,47,165,918,213,654,51,1,
,Tangipahoa,"1,042",3,25,73,941,"4,583","1,851","2,594",138,1,
,Vermilion,278,3,10,2,263,265,54,211,0,0,
,Washington,134,5,9,15,105,687,202,435,50,0,
,Webster,45,0,4,0,41,202,97,79,26,1,
,West Carroll,28,3,0,0,25,264,72,176,16,4,
MAINE,Androscoggin,6,0,2,0,4,229,66,155,8,1,
,Cumberland,28,0,5,4,19,567,251,279,37,3,
,Penobscot,6,0,0,1,5,711,206,461,44,0,
,Sagadahoc,5,0,2,1,2,149,57,86,6,1,
,York,23,0,7,1,15,512,183,294,35,0,
MAINE,Aroostook,2,0,0,0,2,74,20,50,4,0,
,Franklin,2,0,0,0,2,117,68,46,3,0,
,Hancock,5,0,1,1,3,241,50,183,8,0,
,Kennebec,8,0,7,0,1,299,63,218,18,3,
,Knox,10,0,1,0,9,225,63,150,12,0,
,Lincoln,13,0,5,0,8,235,74,152,9,3,
,Oxford,18,0,10,0,8,270,101,157,12,1,
,Piscataquis,4,0,3,0,1,110,40,58,12,1,
,Somerset,13,0,8,1,4,376,126,217,33,1,
,Waldo,7,0,0,0,7,138,79,48,11,1,
,Washington,43,0,1,1,41,200,61,128,11,0,
MARYLAND,Allegany,2,0,0,0,2,77,16,61,0,0,
,Anne Arundel,"2,603",10,101,680,"1,812","17,627","3,124","13,105","1,398",132,
,Baltimore County,"4,901",30,148,"1,725","2,998","26,611","4,393","19,340","2,878",333,
,Calvert,294,1,6,15,272,"1,495",352,"1,051",92,1,
,Carroll,70,0,19,6,45,375,87,276,12,3,
,Cecil,92,2,7,19,64,"1,223",510,600,113,1,
,Charles,741,10,26,173,532,"4,016",725,"2,922",369,0,
,Frederick,238,1,8,16,213,"1,599",252,"1,282",65,21,
,Harford,433,3,54,128,248,"2,966",770,"1,945",251,20,
,Howard,703,4,36,259,404,"8,205","1,376","6,317",512,82,
,Montgomery,"2,087",21,131,"1,100",835,"24,888","3,603","19,027","2,258",252,
,Prince George's,"5,966",102,215,"2,954","2,695","34,856","6,636","20,046","8,174",355,
,Queen Anne's,101,1,10,11,79,707,149,521,37,3,
,Somerset,0,0,0,0,0,46,8,37,1,0,
,Washington,165,0,12,23,130,"1,349",335,924,90,0,
,Wicomico,136,1,13,29,93,881,287,534,60,4,
MARYLAND,Caroline,39,1,4,7,27,393,156,225,12,0,
,Dorchester,26,0,4,3,19,324,117,189,18,0,
,Garrett,29,0,0,1,28,301,97,193,11,0,
,Kent,21,0,1,3,17,163,73,88,2,1,
,St. Mary's,268,2,8,40,218,"1,946",466,"1,364",116,5,
,Talbot,18,0,3,0,15,288,60,221,7,0,
,Worcester,55,2,1,0,52,163,41,110,12,0,
MICHIGAN,Barry,29,0,13,1,15,420,83,315,22,3,
,Bay,51,0,12,12,27,648,97,525,26,1,
,Berrien,126,0,24,10,92,876,264,570,42,4,
,Cass,44,2,19,0,23,713,230,441,42,3,
,Ingham,107,0,16,13,78,"1,023",234,740,49,5,
,Ionia2,61,1,15,3,42,381,131,229,21,4,
,Jackson,101,1,18,3,79,481,132,323,26,4,
,Kalamazoo,236,1,37,58,140,"2,520",736,"1,672",112,23,
,Kent,336,1,58,46,231,"3,852",956,"2,730",166,26,
,Lapeer,47,0,9,0,38,472,106,339,27,1,
,Livingston,55,0,5,2,48,847,174,619,54,5,
,Macomb,370,0,65,50,255,"2,671",527,"1,937",207,17,
,Monroe2,240,2,56,37,145,"2,658",658,"1,861",139,48,
,Newaygo,58,0,5,0,53,410,164,235,11,2,
,Oakland,285,3,45,44,193,"4,105",868,"3,042",195,61,
,Ottawa,268,3,87,29,149,"2,962",682,"2,182",98,22,
,Saginaw,134,1,5,13,115,642,165,436,41,1,
,St. Clair,206,2,29,15,160,"1,783",434,"1,214",135,17,
,Van Buren,103,2,28,5,68,677,141,451,85,7,
,Washtenaw,520,5,55,109,351,"2,419",895,"1,307",217,30,
,Wayne,13,0,0,9,4,17,2,13,2,0,
MICHIGAN,Alcona,9,0,0,0,9,165,55,107,3,1,
,Alger,0,0,0,0,0,3,2,1,0,0,
,Allegan,90,1,27,9,53,730,170,510,50,2,
,Benzie,30,0,5,3,22,186,58,118,10,2,
,Charlevoix,12,0,4,0,8,156,49,105,2,5,
,Cheboygan,8,1,3,0,4,97,41,53,3,0,
,Chippewa,7,0,0,0,7,93,33,59,1,0,
,Crawford,23,0,6,1,16,186,62,107,17,0,
,Delta,5,0,1,0,4,51,12,36,3,2,
,Gladwin,23,0,3,1,19,146,52,83,11,3,
,Gratiot,16,0,8,1,7,189,43,137,9,0,
,Hillsdale,34,0,10,0,24,226,66,143,17,0,
,Huron,16,1,3,0,12,195,79,111,5,5,
,Iosco,0,0,0,0,0,0,0,0,0,0,
,Iron,6,0,4,0,2,30,6,23,1,0,
,Isabella,43,0,14,3,26,530,171,328,31,5,
,Kalkaska,24,0,1,1,22,249,79,160,10,2,
,Keweenaw,1,0,1,0,0,39,5,34,0,2,
,Lake,24,1,2,1,20,256,117,129,10,4,
,Luce,6,0,0,0,6,97,54,42,1,0,
,Mackinac,2,0,0,1,1,60,22,38,0,1,
,Manistee,14,0,4,0,10,129,20,104,5,0,
,Marquette,3,0,0,0,3,167,19,146,2,0,
,Mason,42,0,8,1,33,521,87,425,9,2,
,Mecosta,56,0,5,1,50,496,134,345,17,4,
,Menominee,4,0,1,0,3,57,27,29,1,0,
,Midland,60,0,22,1,37,424,77,323,24,4,
,Missaukee,0,0,0,0,0,22,8,14,0,0,
,Montcalm,56,1,28,2,25,506,153,325,28,7,
,Montmorency,11,0,1,0,10,57,24,25,8,0,
,Oceana,26,1,11,0,14,331,110,210,11,1,
,Ogemaw,13,0,2,0,11,215,91,117,7,3,
,Ontonagon,2,0,0,0,2,18,6,12,0,0,
,Osceola,31,0,6,0,25,235,80,151,4,1,
,Otsego,9,0,0,0,9,80,24,53,3,0,
,Roscommon,17,0,4,1,12,205,47,129,29,0,
,Sanilac,22,2,4,1,15,194,62,121,11,1,
,Schoolcraft,0,0,0,0,0,1,0,1,0,0,
,St. Joseph,39,0,9,0,30,317,109,196,12,2,
,Tuscola,24,0,6,0,18,368,144,192,32,4,
,Wexford,26,1,5,0,20,392,69,309,14,3,
MINNESOTA,Anoka,,2,,4,54,"1,870",381,"1,393",96,14,
,Benton,,0,,1,9,308,54,219,35,7,
,Blue Earth,,0,,0,3,181,52,114,15,5,
,Carlton,,0,,0,8,335,75,244,16,0,
,Carver,,0,,3,18,994,118,837,39,5,
,Chisago,,0,,1,13,517,100,386,31,1,
,Clay5,,0,,1,3,,,43,7,0,
,Dakota,,0,,1,19,211,55,136,20,4,
,Dodge5,,1,,0,,250,44,197,9,3,
,Hennepin,,0,,2,16,136,17,110,9,4,
,Houston,,0,,0,5,113,33,74,6,0,
,Isanti,,0,,1,10,438,120,282,36,3,
,Nicollet,,0,,0,5,90,25,59,6,1,
,Olmsted,,0,,2,19,408,112,257,39,7,
,Polk,,1,,0,28,223,55,158,10,2,
,Scott,,0,,0,9,166,37,112,17,1,
,Sherburne,,1,,2,27,627,116,478,33,1,
,Stearns,,1,,1,30,466,82,363,21,2,
,St. Louis,,0,,5,39,788,242,449,97,6,
,Washington,,0,,10,21,"1,151",253,853,45,6,
,Wright,,0,,6,50,"2,021",212,"1,716",93,6,
MINNESOTA,Aitkin,,2,,1,16,412,138,246,28,2,
,Becker,,0,,1,20,181,85,74,22,1,
,Beltrami,,0,,2,38,413,89,269,55,6,
,Brown,,0,,0,0,3,1,0,2,2,
,Cass,,0,,1,21,446,128,253,65,2,
,Chippewa,,0,,1,8,69,2,63,4,0,
,Clearwater,,0,,0,19,118,29,84,5,4,
,Cook,,0,,1,9,122,24,87,11,1,
,Cottonwood,,0,,0,2,47,22,22,3,0,
,Crow Wing,,0,,0,31,387,93,259,35,2,
,Douglas,,0,,0,4,342,75,250,17,6,
,Faribault,,0,,0,0,69,38,28,3,2,
,Fillmore,,0,,0,3,111,34,68,9,2,
,Freeborn,,0,,2,6,117,14,90,13,0,
,Goodhue,,0,,2,8,207,60,126,21,2,
,Grant,,0,,0,8,110,32,70,8,0,
,Hubbard,,1,,0,3,310,120,169,21,1,
,Itasca,,0,,0,17,375,101,253,21,3,
,Jackson,,0,,0,0,38,7,28,3,0,
,Kanabec,,0,,2,17,257,94,144,19,7,
,Kandiyohi,,0,,3,13,320,47,261,12,1,
,Kittson,,0,,0,0,78,15,62,1,0,
,Koochiching,,0,,0,8,141,42,89,10,1,
,Lac Qui Parle,,0,,0,3,50,7,42,1,1,
,Lake,,1,,0,4,86,40,46,0,0,
,Lake of the Woods,,0,,0,5,51,14,33,4,0,
,Le Sueur5,,0,,0,10,,,109,6,2,
,Lincoln,,0,,0,1,5,0,5,0,0,
,Lyon,,0,,0,4,55,22,29,4,2,
,Marshall,,0,,0,5,108,8,98,2,0,
,Martin,,0,,0,5,57,17,38,2,1,
,McLeod,,1,,0,10,107,40,61,6,0,
,Meeker,,0,,0,9,205,48,145,12,0,
,Mille Lacs,,0,,0,24,373,90,252,31,2,
,Morrison,,1,,0,10,360,73,269,18,1,
,Mower,,0,,1,11,202,58,117,27,1,
,Murray,,0,,0,0,63,25,33,5,2,
,Nobles,,0,,0,3,40,22,17,1,0,
,Norman,,0,,0,3,43,14,26,3,0,
,Otter Tail,,0,,1,7,489,154,305,30,3,
,Pennington,,0,,0,1,52,13,34,5,0,
,Pine,,0,,3,27,851,300,486,65,9,
,Pipestone,,0,,0,4,77,17,58,2,0,
,Pope,,0,,0,2,58,21,32,5,0,
,Red Lake,,0,,0,0,11,2,7,2,0,
,Redwood,,0,,0,5,108,33,70,5,3,
,Renville,,0,,1,4,94,24,65,5,2,
,Roseau,,0,,0,4,96,18,74,4,1,
,Steele,,1,,0,4,115,32,74,9,2,
,Stevens,,0,,0,3,21,9,11,1,0,
,Swift,,0,,0,3,47,21,22,4,0,
,Todd,,0,,0,9,227,77,141,9,0,
,Traverse,,0,,0,4,23,6,16,1,0,
,Wadena,,0,,2,9,74,32,40,2,1,
,Waseca,,0,,0,2,89,35,43,11,4,
,Watonwan,,0,,0,4,67,20,44,3,0,
,Wilkin,,0,,0,0,37,10,25,2,0,
,Winona,,0,,0,3,100,28,62,10,5,
MISSISSIPPI,DeSoto,30,1,4,8,17,736,91,541,104,3,
,Forrest,10,0,1,1,8,71,39,27,5,0,
,Harrison,44,7,10,19,8,"1,700",396,"1,128",176,7,
,Jackson,122,2,26,12,82,"1,819",478,"1,121",220,0,
,Lamar,68,2,20,15,31,690,229,412,49,4,
,Madison,40,4,7,6,23,410,119,250,41,2,
